ds,hour,is_weekend,temp,is_rainy,nearby_event,price,y
2024-01-01 00:00:00,0,0,4.13132792616908,0,0,100,17.068472419053577
2024-01-01 01:00:00,1,0,-2.2040914355710237,1,0,100,0.0
2024-01-01 02:00:00,2,0,7.8647236532357745,0,1,100,43.7035009764831
2024-01-01 03:00:00,3,0,7.65219201865378,0,0,100,20.097298884576215
2024-01-01 04:00:00,4,0,6.929640514088704,0,0,100,19.31764212214842
2024-01-01 05:00:00,5,0,4.914772348819563,0,0,100,10.363360144559739
2024-01-01 06:00:00,6,0,8.738496109529702,0,0,100,25.932451895499728
2024-01-01 07:00:00,7,0,7.374479819747885,0,0,100,27.647901004073912
2024-01-01 08:00:00,8,0,6.487559433132445,0,0,100,19.949698417799635
2024-01-01 09:00:00,9,0,4.542044085502372,0,0,100,20.708438546240945
2024-01-01 10:00:00,10,0,5.0361106487000145,0,0,100,17.1994034961526
2024-01-01 11:00:00,11,0,7.6020796954244405,0,0,100,20.404769665973518
2024-01-01 12:00:00,12,0,3.117265126844119,1,0,100,0.0
2024-01-01 13:00:00,13,0,6.983852442081852,0,0,100,24.30074313617868
2024-01-01 14:00:00,14,0,3.3972518420902738,1,0,100,0.0
2024-01-01 15:00:00,15,0,4.235420409329486,0,0,100,28.674477908785462
2024-01-01 16:00:00,16,0,7.254869154904813,0,0,100,17.464782998654485
2024-01-01 17:00:00,17,0,2.1626436007315784,0,0,100,20.099334744898705
2024-01-01 18:00:00,18,0,8.647621974718835,0,0,150,28.33479167902473
2024-01-01 19:00:00,19,0,-1.7664352992188865,1,0,150,0.0
2024-01-01 20:00:00,20,0,6.258007811066832,0,0,150,25.518905272966034
2024-01-01 21:00:00,21,0,7.819903049044524,0,0,150,30.095398414727118
2024-01-01 22:00:00,22,0,9.196725533152073,0,1,150,44.81818263063451
2024-01-01 23:00:00,23,0,2.1212525585234463,1,0,100,0.0
2024-01-02 00:00:00,0,0,12.218644370109763,0,0,100,19.026146988106884
2024-01-02 01:00:00,1,0,6.947727945014545,0,0,100,23.419896933405536
2024-01-02 02:00:00,2,0,7.7595972515380796,0,0,100,15.861959090911299
2024-01-02 03:00:00,3,0,2.1096093751865403,0,0,100,21.26751172211324
2024-01-02 04:00:00,4,0,5.281264135120882,0,0,100,21.21345592948271
2024-01-02 05:00:00,5,0,11.224676019747285,0,0,100,15.709076719011104
